Events
100
Subject,Context,Name,Time (s),Description
Knife-Expert,Left,Foot Strike,2.98,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,5.09,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,7.07,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,8.95,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,10.6,The instant the heel strikes the ground
Knife-Expert,Left,Foot Off,2.36,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,4.56,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,6.59,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,8.45,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,10.36,The instant the toe leaves the ground
Knife-Expert,Right,Foot Strike,1.83,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,4.06,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,6.12,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,8.01,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,9.86,The instant the heel strikes the ground
Knife-Expert,Right,Foot Off,1,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,3.48,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,5.47,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,7.5,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,9.39,The instant the toe leaves the ground

Trajectories
100
,,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
99,0,-7.63871,-16.3065,199.833,1.14533,-77.6528,188.848,-0.797759,-35.4088,189.478,8.62899,8.84717,338.442,4.53137,18.9705,402.803,9.51008,7.13879,369.758,21.9017,32.6371,430.32
100,0,-7.04366,-16.4628,199.644,1.87768,-77.6822,188.469,0.0525042,-35.5761,189.021,8.76333,8.8311,338.44,4.70161,18.9518,402.827,9.63785,7.06125,369.803,22.1076,32.6075,430.31
101,0,-6.11504,-16.5785,199.324,3.00068,-77.9605,188.19,0.842325,-35.7222,188.845,8.87945,8.8408,338.444,4.77166,18.9316,402.83,9.74412,7.03143,369.821,22.2402,32.6052,430.303
102,0,-5.10195,-16.7223,198.973,3.66818,-78.0143,188.141,1.49586,-35.8579,188.667,8.94292,8.85305,338.459,4.84001,18.9481,402.834,9.8288,7.02677,369.851,22.3275,32.6226,430.299
103,0,-4.44673,-16.7645,198.8,4.9107,-77.926,188.014,2.51765,-35.8397,188.338,8.99103,8.86502,338.46,4.85407,18.9678,402.836,9.8495,7.04394,369.847,22.3666,32.6408,430.303
104,0,-3.15697,-16.6572,198.599,6.203,-77.8911,187.753,3.86756,-35.7412,188.008,8.99185,8.89208,338.462,4.86283,18.9852,402.829,9.85161,7.05867,369.852,22.3712,32.6632,430.29
105,0,-2.0544,-16.5664,198.272,8.14614,-77.6292,187.352,5.16926,-35.5524,187.751,8.98299,8.92281,338.45,5.04533,19.1603,402.515,9.82648,7.0937,369.838,22.3568,32.7192,430.299
106,0,-0.39548,-16.2634,197.613,9.784,-77.344,186.891,6.46551,-35.2777,187.266,8.93896,8.95608,338.445,5.03823,19.2171,402.489,9.79364,7.15164,369.826,22.3242,32.7689,430.299
107,0,0.762273,-15.8957,197.105,11.6169,-77.0055,186.005,8.05423,-34.8862,186.469,8.89384,9.01981,338.443,5.01369,19.2777,402.471,9.72744,7.22786,369.817,22.2757,32.8545,430.29
108,0,1.80416,-15.5618,196.324,12.8921,-76.4901,185.158,9.22435,-34.3711,185.678,8.83022,9.09339,338.438,4.97899,19.3384,402.466,9.65916,7.32786,369.799,22.1884,32.9758,430.286
109,0,3.07977,-15.0766,195.434,14.0833,-76.071,184.251,10.1171,-33.9896,184.751,8.73419,9.16752,338.446,4.74854,19.3095,402.764,9.58602,7.44629,369.788,22.0492,33.102,430.277
110,0,3.98284,-14.4602,194.75,15.5414,-75.4534,183.128,11.3492,-33.3826,183.875,8.61544,9.24659,338.465,4.59082,19.3935,402.767,9.5089,7.56658,369.773,21.9208,33.2964,430.256
111,0,4.25699,-13.9678,194.418,15.1891,-74.9117,182.691,11.2755,-32.9105,183.458,8.48661,9.37427,338.501,4.61194,19.7693,402.452,9.42155,7.78111,369.728,21.8288,33.5571,430.209
112,0,4.2533,-13.5646,194.243,15.109,-74.429,182.707,11.2234,-32.4929,183.302,8.40804,9.46018,338.523,4.47213,19.9638,402.429,9.38581,7.91221,369.719,21.7944,33.7287,430.189
113,0,4.26649,-13.0739,194.06,14.9766,-74.0582,182.614,11.2174,-32.0374,183.14,8.25361,9.59624,338.547,4.24805,20.1958,402.435,9.30268,8.07346,369.688,21.7365,33.8793,430.165
114,0,4.23653,-12.5583,193.833,14.9487,-73.6187,182.432,11.319,-31.5081,182.954,8.09001,9.73921,338.551,4.08472,20.3616,402.458,9.1668,8.17867,369.799,21.6568,34.0139,430.151
115,0,4.03398,-11.8914,193.52,15.0056,-72.8509,182.159,11.2769,-30.7824,182.711,7.96776,9.88196,338.541,4.00254,20.5083,402.451,9.05149,8.28663,369.803,21.5582,34.1492,430.148
116,0,4.03789,-11.1675,193.012,14.92,-72.0777,181.668,10.9375,-30.0848,182.342,7.86296,10.0172,338.526,3.99628,20.6591,402.415,8.92262,8.40012,369.818,21.4785,34.2686,430.16
117,0,4.16288,-10.4743,192.575,15.0665,-71.2725,181.112,11.2019,-29.2446,181.787,7.79129,10.1292,338.517,4.00694,20.7919,402.375,8.82575,8.49938,369.831,21.399,34.3795,430.161
118,0,4.49228,-9.61137,191.959,15.7019,-70.2806,180.499,11.5094,-28.2949,181.276,7.74765,10.2418,338.499,3.85613,20.8103,402.638,8.74738,8.59307,369.853,21.326,34.5,430.17
119,0,4.43561,-8.3091,191.614,15.6847,-69.1459,180.1,11.5071,-27.0872,180.893,7.69856,10.367,338.486,3.8262,20.8942,402.661,8.67744,8.7055,369.886,21.2522,34.631,430.185
120,0,4.68252,-7.11398,191.471,16.1805,-67.8986,179.644,11.9972,-25.8784,180.485,7.64854,10.5014,338.462,3.78296,21.0035,402.683,8.60797,8.81372,369.916,21.1925,34.8109,430.18
121,0,5.12808,-5.69421,191.045,16.8875,-66.4108,179.182,12.7144,-24.4711,180.149,7.5773,10.6563,338.445,3.76598,21.1788,402.673,8.5351,8.92992,369.936,21.1271,35.0129,430.174
122,0,5.61741,-4.01641,190.62,17.6008,-64.7511,178.871,13.0114,-22.8819,179.743,7.55373,10.7967,338.415,3.71803,21.3085,402.714,8.49023,9.03506,369.96,21.1148,35.236,430.163
123,0,5.41435,-2.53547,190.789,16.7485,-63.2709,178.936,12.5652,-21.2802,179.878,7.54494,10.9607,338.397,3.67534,21.4999,402.726,8.44564,9.19887,370.002,21.1112,35.4783,430.159
124,0,5.08798,-0.943336,190.741,16.1043,-61.7822,179.2,12.0843,-19.7951,179.839,7.51975,11.0867,338.41,3.58648,21.6905,402.726,8.55532,9.59133,369.919,21.1062,35.6951,430.16
125,0,4.73069,0.834397,190.741,15.649,-60.1354,179.359,11.6763,-18.1145,179.93,7.4873,11.1983,338.418,3.58452,21.9086,402.466,8.52519,9.74445,369.901,21.0615,35.8768,430.159
126,0,4.7689,2.47373,190.724,15.5328,-58.5211,179.409,11.6488,-16.4652,179.853,7.47669,11.2522,338.424,3.5517,22.0025,402.461,8.55296,9.84264,369.893,21.0496,36.0032,430.163
127,0,4.47082,4.13917,190.641,15.0666,-56.9009,179.441,11.1282,-14.7493,179.86,7.53716,11.2982,338.43,3.61032,22.0527,402.45,8.6292,9.91314,369.888,21.1153,36.0978,430.163
128,0,4.51857,5.83698,190.65,14.8493,-55.0809,179.534,11.3564,-13.1776,179.826,7.66706,11.3166,338.419,3.74536,21.9929,402.47,8.75944,9.92726,369.883,21.2377,36.138,430.157
129,0,4.2449,7.64202,190.472,14.6621,-53.4928,179.417,10.8299,-11.3801,179.767,7.79846,11.324,338.418,3.94149,21.8964,402.481,8.96447,9.9254,369.868,21.3651,36.1268,430.158
130,0,4.08605,9.38425,190.38,14.3933,-51.6048,179.261,10.908,-9.63082,179.483,7.99454,11.2861,338.43,4.30848,21.8124,402.451,9.27378,9.86448,369.862,21.6076,36.045,430.14
131,0,4.08055,11.167,190.013,14.1812,-49.8951,179.049,10.4541,-7.76462,179.357,8.34788,11.1253,338.472,4.78275,21.691,402.661,9.57813,9.55827,370.052,22.0162,35.9014,430.149
132,0,3.88663,13.1962,189.828,14.2426,-47.989,178.873,10.5483,-5.96852,179.051,8.76045,10.9278,338.524,5.26776,21.6647,402.699,9.92345,9.29167,369.972,22.3569,35.7444,430.073
