,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,-72.558,87.541,128.871,-64.9989,26.9602,118.956,-70.321,68.84,118.93,-2.7512,-30.1131,331.092,-4.70358,-27.6274,396.013,-1.10557,-36.1997,362.498,9.83069,-14.3953,426.082
39,-72.3381,87.4244,129.261,-64.6172,26.9002,119.271,-69.4467,68.7279,118.802,-2.97189,-29.9344,331.077,-4.8476,-27.4742,396.003,-1.29755,-36.0195,362.52,9.62563,-14.1872,426.019
40,-72.4727,87.2168,129.673,-64.439,26.8364,119.634,-69.2903,68.592,119.19,-3.13553,-29.8209,331.101,-5.00011,-27.2833,395.984,-1.43486,-35.8701,362.552,9.57486,-13.6489,425.636
41,-72.6145,87.1424,130.042,-64.4317,26.6953,120.237,-69.1726,68.3433,119.559,-3.24773,-29.7322,331.143,-5.18398,-27.081,395.988,-1.54499,-35.7346,362.57,9.46338,-13.5304,425.631
42,-72.7594,87.0825,130.462,-64.4125,26.6006,120.932,-69.3493,68.0263,120.105,-3.34892,-29.6378,331.163,-5.36059,-26.8977,396.003,-1.63726,-35.6232,362.598,9.36013,-13.4195,425.653
43,-72.676,87.0437,130.931,-64.3201,26.5306,121.572,-69.1364,67.9295,120.436,-3.43722,-29.5293,331.171,-5.51126,-26.7521,396,-1.74976,-35.5215,362.614,9.24335,-13.3258,425.729
44,-72.443,86.9658,131.336,-64.2615,26.3677,122.148,-68.6947,67.6901,120.684,-3.55844,-29.3999,331.185,-5.60552,-26.6279,396.012,-1.86611,-35.4005,362.627,9.13822,-13.1441,425.673
45,-72.6801,86.8312,131.826,-64.1916,26.201,122.672,-69.4368,67.6897,121.626,-3.67446,-29.277,331.222,-5.69063,-26.5466,396.017,-1.96543,-35.2765,362.61,9.01821,-13.0317,425.699
46,-72.8666,86.7325,132.128,-64.4943,26.1644,123.119,-69.8167,67.3759,122.074,-3.772,-29.1638,331.244,-5.79076,-26.4732,396.043,-2.05857,-35.1716,362.603,8.9228,-12.9365,425.726
47,-73.0745,86.6325,132.372,-64.6434,26.0707,123.466,-69.7557,67.296,122.141,-3.83136,-29.0953,331.257,-5.86028,-26.384,396.039,-2.12065,-35.084,362.592,8.79433,-13.1732,426.109
48,-73.2526,86.5611,132.56,-64.7309,25.9964,123.719,-69.7592,67.2425,122.202,-3.84744,-29.0554,331.261,-5.89269,-26.3354,396.051,-2.16208,-35.0376,362.593,8.75805,-13.1465,426.121
49,-73.4911,86.5062,132.758,-64.8984,25.8932,123.981,-70.2819,67.3071,122.59,-3.85582,-29.0467,331.268,-5.88905,-26.3215,396.043,-2.15899,-35.0317,362.59,8.75257,-13.1318,426.121
50,-73.7084,86.4632,132.914,-65.1522,25.8314,124.15,-70.5433,67.4022,122.775,-3.84427,-29.0521,331.258,-5.88895,-26.3328,396.051,-2.15717,-35.0271,362.585,8.73127,-13.2559,426.228
51,-73.9715,86.4299,133.072,-65.3176,25.8021,124.258,-71.6454,67.401,123.545,-3.84913,-29.0585,331.259,-5.89065,-26.3324,396.049,-2.15179,-35.0368,362.593,8.73014,-13.1672,426.152
52,-74.6936,86.4089,133.311,-65.4065,25.8328,124.336,-71.06,67.3367,123.098,-3.86388,-29.0481,331.266,-5.90863,-26.3241,396.052,-2.16411,-35.0233,362.591,8.73664,-13.1349,426.12
53,-74.9582,86.4386,133.464,-65.5684,25.8481,124.428,-71.2153,67.3131,123.188,-3.87366,-29.0217,331.269,-5.93456,-26.2875,396.053,-2.17896,-34.9889,362.582,8.69145,-13.2254,426.232
54,-74.8948,86.48,133.438,-65.6918,25.8785,124.526,-71.3233,67.3296,123.269,-3.88678,-28.988,331.271,-5.96282,-26.2306,396.055,-2.21353,-34.9515,362.584,8.68295,-13.1068,426.15
55,-74.9995,86.5179,133.469,-65.7264,25.8962,124.596,-71.5977,67.1655,123.438,-3.88923,-28.9575,331.27,-5.98389,-26.1665,396.067,-2.23133,-34.9,362.59,8.69127,-13.0683,426.139
56,-74.9928,86.5619,133.483,-66.0544,26.0022,124.655,-71.6829,67.1992,123.533,-3.89171,-28.9174,331.278,-5.99696,-26.0944,396.065,-2.2384,-34.8389,362.581,8.70381,-13.0407,426.146
57,-74.8891,86.6188,133.455,-65.7706,26.0392,124.618,-71.2594,67.4615,123.341,-3.88832,-28.8776,331.276,-5.99628,-26.0258,396.065,-2.25148,-34.7857,362.58,8.74844,-12.9911,426.122
58,-74.7357,86.6908,133.411,-65.3663,26.0845,124.537,-71.036,67.5751,123.282,-3.88202,-28.8395,331.284,-5.97301,-25.967,396.073,-2.2194,-34.7374,362.58,8.77785,-13.0639,426.224
59,-74.0277,86.8969,133.229,-65.239,26.2411,124.5,-70.7633,67.7513,123.191,-3.8513,-28.8076,331.274,-5.92531,-25.9073,396.089,-2.18079,-34.6865,362.57,8.83106,-12.9193,426.134
60,-73.731,87.0344,133.094,-64.9885,26.4438,124.436,-70.4241,67.9125,123.053,-3.80151,-28.7699,331.29,-5.85857,-25.8556,396.097,-2.13751,-34.6461,362.568,8.89212,-12.8759,426.142
61,-74.0557,87.2608,133.162,-64.7518,26.6645,124.363,-70.2091,68.0982,123.018,-3.76318,-28.723,331.291,-5.81233,-25.7904,396.123,-2.10211,-34.5886,362.565,8.97606,-12.7257,426.018
62,-73.0189,87.3568,132.794,-64.6776,26.8795,124.236,-69.2884,68.313,122.504,-3.72846,-28.6445,331.293,-5.77664,-25.6985,396.154,-2.08931,-34.5044,362.572,9.01726,-12.6642,426.051
63,-72.5241,87.5362,132.631,-63.9912,27.0094,124.025,-69.0955,68.5419,122.529,-3.69337,-28.5527,331.287,-5.76183,-25.5689,396.162,-2.08117,-34.4004,362.581,9.03919,-12.5651,426.063
64,-72.0947,87.6795,132.537,-63.6128,27.1783,123.884,-68.648,68.6336,122.376,-3.67458,-28.4368,331.273,-5.7474,-25.424,396.163,-2.07752,-34.2874,362.602,9.04912,-12.475,426.099
65,-71.6473,87.8372,132.472,-62.991,27.4566,123.661,-68.1575,68.8164,122.33,-3.65049,-28.3343,331.272,-5.72511,-25.2713,396.164,-2.09314,-34.1798,362.635,9.01991,-12.4358,426.248
66,-71.1315,88.0458,132.419,-62.2859,27.6977,123.606,-68.031,69.0967,122.594,-3.63606,-28.2185,331.277,-5.72629,-25.1452,396.174,-2.11456,-34.0723,362.673,9.01686,-12.2881,426.239
67,-70.5423,88.3192,132.37,-62.2617,27.8603,123.705,-67.5579,69.2671,122.628,-3.61582,-28.0924,331.269,-5.72682,-25.0405,396.194,-2.13177,-33.9755,362.732,8.99267,-12.0835,426.213
68,-70.5461,88.5326,132.459,-60.9225,28.1027,123.45,-67.3396,69.3435,122.637,-3.62187,-27.9638,331.303,-5.71198,-24.954,396.21,-2.13557,-33.8829,362.774,8.97147,-11.924,426.207
69,-69.9279,88.6403,132.396,-60.3292,28.3495,123.447,-67.066,69.4376,122.665,-3.63145,-27.8391,331.329,-5.68127,-24.8743,396.208,-2.12065,-33.8004,362.801,8.96379,-11.7461,426.181
70,-68.8646,88.8921,132.228,-59.5973,28.5299,123.29,-65.4365,69.9023,121.971,-3.58993,-27.761,331.31,-5.62639,-24.786,396.214,-2.11031,-33.7297,362.819,8.96906,-11.6042,426.181
71,-68.0228,89.1507,132.111,-58.7521,28.9093,123.23,-64.498,70.2608,121.867,-3.57604,-27.6924,331.329,-5.57733,-24.7022,396.206,-2.07163,-33.6441,362.81,9.01083,-11.4627,426.19
72,-67.6403,89.3479,132.074,-58.1616,29.1526,123.052,-63.4125,70.5869,121.694,-3.55865,-27.633,331.352,-5.52817,-24.604,396.19,-2.03087,-33.5484,362.805,9.03506,-11.3566,426.225
73,-67.0208,89.6406,132.093,-56.866,29.4478,122.844,-62.6558,70.778,121.637,-3.55193,-27.5781,331.364,-5.48683,-24.5146,396.201,-1.989,-33.4674,362.809,9.06009,-11.2895,426.245
74,-66.4342,89.885,131.999,-55.9514,29.7559,122.779,-62.0223,70.9834,121.63,-3.52735,-27.525,331.37,-5.43394,-24.4304,396.185,-1.92763,-33.3777,362.8,9.10224,-11.2125,426.249
75,-64.9044,90.2678,131.728,-54.376,30.0886,122.611,-61.1279,71.369,121.665,-3.48404,-27.4795,331.377,-5.37759,-24.3692,396.173,-1.86742,-33.3075,362.804,9.15956,-11.1459,426.248
76,-64.5719,90.5725,131.88,-53.9586,30.3646,122.824,-60.8118,71.5436,122.111,-3.4435,-27.4317,331.365,-5.32243,-24.3129,396.172,-1.82266,-33.2419,362.805,9.225,-11.0759,426.245
77,-63.2566,90.8126,131.946,-52.5779,30.6366,122.942,-60.1466,71.7205,122.275,-3.39352,-27.3901,331.365,-5.25285,-24.2505,396.164,-1.75948,-33.1749,362.814,9.29453,-11.0262,426.245
78,-63.0267,91.0531,132.162,-52.0533,30.9624,123.092,-59.3819,72.1137,122.335,-3.35118,-27.3402,331.361,-5.19027,-24.1891,396.147,-1.70125,-33.1052,362.825,9.33327,-10.9892,426.256
79,-61.9837,91.3334,132.1,-50.4991,31.3873,123.082,-57.6656,72.38,121.915,-3.29323,-27.2851,331.364,-5.11583,-24.1127,396.113,-1.63518,-33.0228,362.834,9.38496,-10.9487,426.262
80,-61.7859,91.701,132.36,-49.7048,31.5434,123.152,-56.7617,72.6541,121.998,-3.25125,-27.2298,331.37,-5.05004,-24.0349,396.09,-1.57911,-32.9439,362.843,9.41743,-10.9026,426.27
81,-61.043,91.8158,132.261,-49.4533,31.818,123.243,-55.7553,73.0991,121.864,-3.20958,-27.1558,331.376,-4.98979,-23.9473,396.085,-1.52914,-32.8467,362.839,9.46488,-10.8335,426.259
